Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDI12,OUT013,1387.542
NCW42,OUT013,3613.3264
NCC06,OUT018,1811.1515
FDW02,OUT017,2117.5764
NCD43,OUT017,1776.9353
FDM57,OUT018,1143.7291
FDA58,OUT017,3744.822
FDK56,OUT046,2936.929
FDP52,OUT045,3676.1724
FDW20,OUT018,1888.8079
FDS52,OUT049,1776.0671
NCT29,OUT018,1690.9528
NCL54,OUT013,2800.8296
FDC05,OUT045,3229.1172
FDF34,OUT035,3320.3843
FDP03,OUT027,3029.8008
FDD32,OUT010,271.98547
FDZ10,OUT045,2213.73
FDZ40,OUT035,954.88116
FDD51,OUT018,563.403
NCY30,OUT019,506.87585
FDP58,OUT017,3478.888
FDV49,OUT017,4367.7803
FDY24,OUT019,221.06303
NCO55,OUT017,1830.5983
FDR13,OUT017,1971.2013
FDS51,OUT017,1062.9196
FDP26,OUT045,1763.1637
NCB54,OUT027,3216.342
FDF32,OUT017,3268.4966
FDN31,OUT018,2592.982
DRM48,OUT017,662.6076
FDN20,OUT049,2880.82
DRL01,OUT046,3268.1772
FDV56,OUT049,1859.7566
DRH13,OUT027,2661.023
FDA03,OUT017,2435.0679
FDF47,OUT027,5576.7827
FDX32,OUT046,2432.2764
FDX57,OUT049,1760.1494
NCA30,OUT045,3017.8755
FDO49,OUT013,819.75653
FDL04,OUT019,310.60504
DRM48,OUT035,761.9588
FDR16,OUT013,3561.0447
NCC19,OUT018,2599.9011
NCE42,OUT045,3577.3948
FDY24,OUT017,936.709
FDH19,OUT049,2945.413
FDJ46,OUT013,2699.496
FDN45,OUT010,717.9105
FDY08,OUT035,2391.0522
FDZ37,OUT035,1468.0276
NCT30,OUT045,918.78455
DRY23,OUT018,540.5639
NCZ30,OUT018,1719.7031
FDC44,OUT018,1609.26
FDB45,OUT035,1809.9696
FDY04,OUT013,2625.906
FDM27,OUT046,2561.095
FDZ43,OUT017,3953.205
FDT39,OUT019,473.2205
NCC06,OUT019,426.89383
FDL15,OUT027,3855.771
FDL57,OUT017,4036.6956
FDU08,OUT046,1680.9005
FDK40,OUT017,4287.9946
FDQ12,OUT010,571.4406
FDS48,OUT017,2431.925
FDP09,OUT045,3280.901
FDW21,OUT049,1811.8497
FDY25,OUT035,3039.0286
DRE13,OUT017,1459.5487
FDV43,OUT019,208.30597
FDD22,OUT045,1961.9618
FDM46,OUT019,289.84952
NCO30,OUT010,590.56024
FDM25,OUT046,2984.386
NCN41,OUT049,2158.5857
FDU24,OUT045,1574.8779
FDZ50,OUT046,3034.5671
FDP45,OUT013,3900.6604
NCM54,OUT045,2145.6743
FDW10,OUT019,495.55273
FDP20,OUT017,2140.9458
FDK32,OUT046,2503.3596
FDN52,OUT049,1509.8977
FDM58,OUT045,1970.0778
FDZ46,OUT027,2739.6504
NCA18,OUT018,1666.0696
FDD35,OUT046,2070.621
NCK31,OUT035,916.01416
FDI40,OUT027,2508.5203
FDT50,OUT019,292.61127
NCT06,OUT046,2565.1587
FDT31,OUT035,3137.1794
FDT45,OUT049,1062.7067
FDT13,OUT045,3052.4727
FDO50,OUT045,1528.2825
NCU18,OUT010,454.80478
NCR54,OUT049,3202.6233
NCO18,OUT018,2427.0437
FDU09,OUT045,1039.103
FDT13,OUT018,2586.286
FDE09,OUT046,1898.924
NCK53,OUT019,293.74158
FDG45,OUT049,3492.681
DRH15,OUT035,817.70184
FDO21,OUT019,666.3271
FDD14,OUT027,4265.5864
FDC09,OUT046,1769.6826
FDH45,OUT027,1329.1771
FDV32,OUT046,1152.2416
FDG12,OUT035,2050.5093
FDS32,OUT013,2257.1978
NCL55,OUT018,3168.1763
DRE01,OUT035,3626.9385
DRE15,OUT049,1379.8401
NCL42,OUT045,3674.133
FDP31,OUT013,1025.1127
FDN33,OUT018,1306.8904
FDZ59,OUT046,2937.3096
FDE45,OUT010,535.21747
FDJ07,OUT013,1872.3892
FDQ45,OUT018,2437.823
FDM33,OUT027,5556.3696
FDO15,OUT010,291.167
FDM46,OUT013,1485.9589
FDR03,OUT045,3266.9998
FDY49,OUT018,2205.1218
FDQ60,OUT045,1998.522
FDW10,OUT049,2982.6475
FDO51,OUT049,891.4699
FDJ40,OUT018,1497.6215
FDS20,OUT018,2498.0903
FDU45,OUT013,1890.9601
FDV02,OUT035,2851.602
FDN09,OUT046,3096.2156
NCM55,OUT027,4782.3228
FDN23,OUT018,1951.1179
FDY31,OUT010,438.44083
FDW03,OUT010,357.8043
FDD14,OUT046,3044.74
FDV23,OUT017,2074.9258
DRI03,OUT045,2866.248
FDN13,OUT035,1702.545
FDF45,OUT027,1660.9053
FDU46,OUT035,1579.7422
FDB57,OUT049,3548.5674
FDV12,OUT049,1736.686
FDQ58,OUT013,2383.615
NCA18,OUT017,1957.3864
FDH52,OUT049,1089.5868
FDM24,OUT018,2027.7887
NCP43,OUT027,4642.9087
NCO18,OUT019,499.96686
FDM32,OUT017,1631.0625
NCL07,OUT017,670.2567
FDK03,OUT013,4447.175
FDP59,OUT017,1741.1215
FDQ24,OUT049,4096.956
FDQ16,OUT018,1555.6871
FDU44,OUT013,2575.8945
FDH28,OUT010,227.04008
FDV28,OUT019,190.79942
FDM22,OUT045,992.66364
FDR56,OUT046,3116.1128
FDV39,OUT049,3204.37
FDU37,OUT019,249.86992
FDQ11,OUT010,825.47284
FDX02,OUT045,3620.541
NCS42,OUT018,1304.5564
FDY57,OUT027,2331.7551
FDB21,OUT049,3779.2559
FDE28,OUT017,3805.7808
FDQ55,OUT017,1922.6141
FDA48,OUT049,3745.0095
FDZ19,OUT045,2849.8228
NCC43,OUT045,3706.9788
NCV18,OUT046,1409.3486
NCA42,OUT018,2194.5732
FDY45,OUT046,3092.7046
NCC30,OUT045,2894.986
FDM57,OUT013,1431.0978
FDL09,OUT010,591.95435
FDB09,OUT027,3077.9404
FDT44,OUT035,2047.4001
NCT06,OUT027,4175.245
FDX26,OUT049,3116.4658
FDK32,OUT013,2264.4285
DRA12,OUT046,2316.6204
FDO46,OUT010,668.0822
FDE52,OUT013,1391.2992
NCH42,OUT045,3530.3513
FDV08,OUT035,776.0838
FDB47,OUT018,2780.2065
FDC28,OUT010,347.3279
FDD22,OUT046,1930.4926
FDS07,OUT027,2864.144
DRI13,OUT045,3316.891
FDG32,OUT018,3042.5117
FDU14,OUT017,4157.039
FDD28,OUT019,218.83914
NCP41,OUT017,1857.4769
FDS08,OUT049,2969.9482
FDX47,OUT045,2634.4246
FDC53,OUT019,297.16464
FDQ19,OUT035,3843.2249
FDL14,OUT045,2572.6646
FDM33,OUT019,517.78815
FDA51,OUT045,1901.6831
FDZ27,OUT018,635.8258
FDT04,OUT046,902.2716
DRC13,OUT049,2244.6084
FDR16,OUT027,5495.076
FDQ03,OUT027,5929.121
FDE38,OUT035,2810.468
DRH23,OUT027,1611.9171
FDT11,OUT019,609.563
FDD09,OUT035,3013.3604
FDR40,OUT045,1364.8214
FDX07,OUT017,3050.4346
FDR07,OUT035,1688.805
FDA51,OUT017,1937.9542
FDT59,OUT019,721.63605
FDF20,OUT017,3234.4473
FDR13,OUT045,1918.7701
FDY26,OUT049,3489.9302
FDW04,OUT017,2182.7847
FDK52,OUT017,3768.5566
FDN60,OUT049,2704.0571
FDM09,OUT019,550.2044
FDP46,OUT049,1636.9204
FDB50,OUT019,258.87012
NCQ29,OUT049,3749.1208
FDP16,OUT027,6057.0874
FDX33,OUT018,2172.1936
FDP07,OUT010,540.16437
FDN22,OUT046,3282.7488
FDF39,OUT049,3943.4084
FDS21,OUT017,1011.23206
NCM42,OUT013,1634.0509
FDK50,OUT019,480.03357
DRF13,OUT027,3611.262
FDH35,OUT018,2273.888
FDP60,OUT018,1432.8666
DRJ49,OUT027,3198.1047
NCT42,OUT019,428.32413
FDE38,OUT049,2874.486
FDI04,OUT049,3296.64
NCH54,OUT045,2602.5012
FDT56,OUT049,1052.105
DRD15,OUT018,3232.0195
FDV58,OUT013,2990.046
FDP21,OUT049,3152.3672
FDH05,OUT013,3980.7673
FDR10,OUT027,4042.4702
NCP06,OUT045,2488.0518
FDF33,OUT049,1946.4772
DRK37,OUT013,2908.958
DRH49,OUT045,1521.242
FDT58,OUT013,2613.0579
FDD41,OUT018,1444.3785
FDP40,OUT018,1523.8231
FDM51,OUT027,2513.4214
FDO45,OUT010,347.88715
FDW33,OUT010,411.2537
FDY24,OUT045,950.0703
FDB10,OUT010,741.42365
FDM40,OUT035,2414.33
NCI06,OUT017,2981.9243
FDW12,OUT019,450.4284
FDX48,OUT027,3756.6216
NCW05,OUT027,2693.874
FDX27,OUT017,1615.6072
DRM37,OUT045,3153.2297
FDA38,OUT045,3763.8752
FDR36,OUT046,859.6071
FDZ45,OUT046,2873.7756
FDG05,OUT017,2642.7651
FDK28,OUT013,4585.9897
FDV47,OUT045,1440.6812
FDN21,OUT045,2684.2268
FDP20,OUT027,2932.258
FDI35,OUT045,2982.8237
DRY23,OUT013,670.71515
FDA56,OUT017,2062.407
FDB09,OUT013,1960.7377
NCO26,OUT027,2924.3716
FDQ49,OUT018,2088.982
FDI52,OUT027,3014.7974
FDZ44,OUT027,2910.7
FDZ09,OUT018,2270.548
FDY03,OUT049,2010.6948
NCG42,OUT017,2218.5686
DRI13,OUT027,5506.0967
FDQ32,OUT013,2023.1426
FDW16,OUT035,1544.9082
FDU27,OUT046,927.37775
FDR28,OUT010,467.83145
FDQ49,OUT010,393.31998
FDS37,OUT046,2013.8912
FDW26,OUT018,2909.6353
FDX12,OUT018,3310.7854
NCP06,OUT013,2374.3047
FDW45,OUT010,512.9824
NCN30,OUT049,1703.6617
FDN24,OUT049,1007.2601
NCL41,OUT027,1084.8889
FDR02,OUT019,324.75406
FDD09,OUT010,541.7582
FDS33,OUT010,347.88715
FDU22,OUT045,2089.8035
FDI53,OUT013,2609.0989
DRH01,OUT049,2985.821
FDX32,OUT013,2288.4565
NCP30,OUT018,476.82562
FDB60,OUT045,3131.6033
FDB14,OUT049,1607.6705
NCP02,OUT035,1041.6962
FDJ10,OUT017,2363.1401
FDG34,OUT046,1947.5801
NCB18,OUT017,1489.0167
FDM16,OUT049,1293.7018
FDW25,OUT018,1198.3705
FDB35,OUT010,386.73157
DRN11,OUT013,2278.3005
FDF41,OUT019,749.82245
FDH16,OUT045,1499.6144
NCQ50,OUT018,2842.8672
DRH23,OUT018,752.35114
DRJ37,OUT013,2394.3904
DRJ24,OUT027,4665.968
FDY16,OUT035,3087.7239
FDQ27,OUT045,1825.2347
FDZ33,OUT045,2520.402
FDF29,OUT045,2200.343
FDA08,OUT049,2772.4797
FDG31,OUT046,1164.8995
FDE34,OUT019,644.4805
NCR30,OUT027,1957.0366
FDV33,OUT035,3786.276
DRZ24,OUT018,1725.816
NCL54,OUT035,2922.0962
FDR12,OUT049,3037.492
NCC54,OUT046,3408.3813
DRN59,OUT013,712.2046
FDX50,OUT019,327.5121
FDV31,OUT027,4557.096
NCA29,OUT027,4405.826
FDW60,OUT049,3105.8425
FDX08,OUT017,3014.5967
DRD49,OUT013,3525.8738
FDD33,OUT046,3499.9348
FDW35,OUT013,722.6654
FDJ36,OUT017,1743.7125
FDV51,OUT035,2826.9365
FDW36,OUT046,1906.8286
FDH35,OUT046,2587.505
NCS30,OUT027,3242.11
FDN49,OUT017,682.85736
FDL08,OUT018,3336.0623
FDI09,OUT013,3809.9487
FDP19,OUT018,1820.7274
FDU21,OUT010,295.59766
NCP41,OUT045,1834.0784
FDY10,OUT013,1805.5974
FDP12,OUT018,535.3493
NCN26,OUT049,2070.9294
FDK44,OUT013,2738.224
FDC28,OUT049,1929.4906
FDJ41,OUT027,6304.959
NCT29,OUT035,2146.4126
NCH42,OUT019,602.65247
FDU60,OUT018,2239.6802
FDS02,OUT045,3174.1558
FDC51,OUT046,2124.7322
FDU03,OUT013,2938.1174
FDX39,OUT045,3332.8577
NCY05,OUT010,303.47607
NCL06,OUT027,6299.72
FDD32,OUT035,1379.6908
NCN41,OUT045,2074.8674
NCX53,OUT049,2455.5923
FDU57,OUT019,484.90247
FDQ23,OUT046,1857.2197
FDQ52,OUT045,3924.7095
FDC14,OUT045,741.2574
FDY09,OUT035,3000.6985
FDQ28,OUT045,2594.2896
FDV25,OUT046,3531.1992
FDJ07,OUT035,2053.3264
DRB25,OUT049,1973.6799
FDK52,OUT019,669.16626
FDY52,OUT027,1738.0043
FDB28,OUT046,3208.9753
FDT36,OUT035,708.4065
FDV25,OUT017,3719.609
NCN07,OUT027,3232.6965
FDC57,OUT017,3215.7573
FDQ03,OUT018,2968.625
FDU23,OUT017,2707.8655
NCX41,OUT035,3470.4993
NCD06,OUT035,851.76013
FDW08,OUT045,1809.3678
NCU29,OUT017,2453.3616
NCE06,OUT013,2534.547
FDV52,OUT010,341.6498
FDB02,OUT017,2933.4785
NCR18,OUT045,781.0342
FDK16,OUT049,1673.0011
NCQ29,OUT010,870.17535
FDZ01,OUT019,313.77777
FDW27,OUT035,2721.127
FDD17,OUT018,3267.612
FDW39,OUT013,2841.2192
DRH59,OUT045,1239.6481
FDS52,OUT013,1606.1774
FDU40,OUT027,4995.1396
NCF54,OUT013,2749.8103
FDH46,OUT045,1816.3344
NCP14,OUT049,1856.0321
FDH50,OUT049,3166.0134
DRF15,OUT010,424.80865
FDV27,OUT027,2223.8777
NCJ06,OUT049,2135.4834
FDN02,OUT018,2855.3108
FDQ51,OUT049,905.2344
FDQ07,OUT017,3683.6008
FDS45,OUT049,1515.123
NCJ06,OUT045,2067.9536
FDD36,OUT035,1972.1323
FDY25,OUT045,2971.662
FDU52,OUT046,2536.5798
DRK47,OUT017,3761.2817
NCL30,OUT017,2164.76
FDN22,OUT035,3770.632
NCF30,OUT027,3141.8066
FDK03,OUT035,4092.4194
FDT45,OUT017,953.2838
NCC54,OUT027,6018.0796
FDP08,OUT018,2544.764
FDU44,OUT046,2671.8315
DRG39,OUT035,922.85944
FDU32,OUT049,2132.127
FDY27,OUT049,3039.3833
NCP54,OUT013,1950.4539
NCZ41,OUT049,2222.479
DRL49,OUT013,2281.4602
FDI05,OUT018,1045.2211
FDY56,OUT045,3576.039
DRC13,OUT013,2104.847
NCV29,OUT017,2965.215
FDR24,OUT049,1540.8398
FDZ34,OUT018,2594.8716
FDP37,OUT035,2146.2412
FDX08,OUT027,4613.53
FDS57,OUT045,2421.0896
NCG18,OUT049,1839.2194
FDK25,OUT018,2238.193
FDH53,OUT049,1392.3037
DRI59,OUT018,3026.4038
FDA52,OUT046,2901.9521
FDT20,OUT010,297.2835
FDE36,OUT019,514.35474
FDI24,OUT017,2655.2961
FDB28,OUT018,2756.772
FDV11,OUT017,2928.1494
FDP01,OUT046,2680.1409
FDD34,OUT027,4042.4702
FDJ50,OUT027,1500.3691
FDZ44,OUT013,1828.6615
DRO59,OUT035,1312.186
DRB48,OUT045,735.02277
FDR21,OUT018,2398.7124
NCE42,OUT010,763.8849
FDO23,OUT046,1672.9523
NCE30,OUT018,2842.8672
FDQ22,OUT035,801.0287
FDY01,OUT045,1935.6093
FDS08,OUT017,2931.2983
FDG28,OUT018,3198.8413
FDQ51,OUT018,631.8976
FDB05,OUT017,4119.853
FDO56,OUT049,2013.2394
FDE02,OUT018,1304.0217
FDN45,OUT017,3607.794
FDS09,OUT013,756.3336
NCA54,OUT018,2464.0334
FDP09,OUT010,692.65375
FDC53,OUT045,1684.0692
NCM55,OUT017,3081.2473
FDL09,OUT018,2265.0037
FDA11,OUT019,295.46033
FDA50,OUT045,1597.4204
FDC23,OUT017,2986.4463
FDE22,OUT049,2749.3374
FDD23,OUT046,2955.517
NCA29,OUT049,2905.304
FDK38,OUT046,2492.939
DRC13,OUT046,2123.3235
NCP43,OUT049,2999.9412
FDX28,OUT049,1758.9182
FDF08,OUT049,1551.696
FDZ33,OUT046,2383.4734
FDD10,OUT049,2755.058
FDO58,OUT017,2716.4407
FDI50,OUT017,3859.0222
FDO58,OUT045,2750.1135
FDX08,OUT013,2952.9766
NCK17,OUT010,301.31152
FDF39,OUT035,4143.534
FDU45,OUT010,411.03583
NCJ18,OUT018,1666.0696
DRC27,OUT019,765.55695
DRC25,OUT035,1567.1936
FDU59,OUT035,2661.5771
FDU28,OUT035,3180.3003
NCP30,OUT046,788.13995
FDB39,OUT018,740.56995
FDE41,OUT013,1389.1224
DRH11,OUT010,295.00516
FDA58,OUT045,3452.4358
FDU50,OUT046,1997.3456
FDM34,OUT013,2063.7974
FDM44,OUT027,2432.3118
FDR39,OUT045,2959.5828
FDM25,OUT045,2919.025
FDQ49,OUT049,2716.7852
DRH25,OUT018,678.8947
FDM09,OUT027,4229.263
FDL44,OUT019,472.96683
NCR42,OUT018,379.2655
DRL59,OUT046,952.91473
FDX43,OUT013,2711.3591
DRK47,OUT010,733.3291
FDU48,OUT018,1832.846
FDY12,OUT045,892.8855
NCN43,OUT018,1740.2045
NCM55,OUT018,2495.2734
FDQ21,OUT027,3041.1125
FDX13,OUT035,4131.559
NCK30,OUT027,6002.6025
FDG20,OUT049,2951.8313
DRG27,OUT017,718.1152
FDY14,OUT018,3614.6694
FDP59,OUT035,1750.3053
FDU60,OUT017,2804.024
NCC18,OUT019,490.52298
DRJ39,OUT017,3644.551
FDS07,OUT049,2075.915
FDM08,OUT027,5681.0396
FDP51,OUT045,2074.5806
FDU16,OUT035,1389.4473
FDH12,OUT013,1643.4587
DRE48,OUT010,661.6179
NCL42,OUT027,6095.837
FDR21,OUT045,2902.2307
NCW29,OUT035,2276.1816
FDO11,OUT013,4460.095
NCM31,OUT049,2481.2766
FDV35,OUT019,443.06094
FDF58,OUT017,1052.0709
NCE43,OUT049,2864.2102
FDA02,OUT035,2449.9893
DRL37,OUT010,361.51776
FDR24,OUT018,1296.2478
FDW59,OUT049,1467.5586
FDS22,OUT049,920.4768
FDW24,OUT017,874.6735
FDU24,OUT035,1614.6497
FDA21,OUT027,4744.055
FDH58,OUT027,2876.3838
FDW36,OUT018,1486.4966
FDI45,OUT027,4414.911
FDU01,OUT018,2451.0269
FDF35,OUT027,2691.0425
FDU43,OUT019,748.75104
FDE24,OUT019,402.87146
